Customer Number,Total Wait Time,Arrival Time,Departure Time,Duration of Service,Served by Teller
50,103,35,136,2,1
47,105,32,133,4,1
45,106,30,128,8,1
43,93,28,119,2,1
41,95,28,116,7,1
39,86,27,108,5,1
37,79,25,102,2,1
35,79,24,99,4,1
49,66,33,98,1,2
48,64,33,96,1,2
46,64,31,94,1,2
33,72,24,94,2,1
44,64,29,92,1,2
31,75,22,91,6,1
42,63,28,90,1,2
40,62,27,88,1,2
38,61,26,86,1,2
36,60,25,84,1,2
29,64,21,84,1,1
34,60,24,82,2,2
27,69,17,82,4,1
32,58,22,79,1,2
30,58,22,77,3,2
24,64,16,77,3,1
28,60,19,73,6,2
23,61,15,73,3,1
21,70,13,69,14,1
26,54,17,66,5,2
25,44,17,60,1,2
22,55,14,58,11,2
20,52,11,54,9,1
19,39,10,46,3,2
18,41,10,44,7,1
17,37,10,42,5,2
15,30,10,36,4,2
16,27,10,36,1,1
13,31,8,34,5,1
14,23,9,31,1,2
10,29,4,29,4,2
12,24,7,28,3,1
8,30,2,24,8,2
11,28,6,24,10,1
6,21,1,15,7,2
9,11,4,13,2,1
7,11,2,10,3,1
4,11,0,7,4,2
5,6,1,6,1,1
3,5,0,4,1,1
2,4,0,2,2,2
1,4,0,2,2,1
